Titr,Lead,Date,Time,Tags
                 تاکید بر لغو تحریم‌ها علیه ایران در شورای امنیت             ,                  آقای گوترش، دبیرکل سازمان ملل متحد به صراحت اعلام کرد آمریکا و سه کشور اروپایی باید روند لغو تحریم‌ها علیه ایران را تسریع ببخشند و تحریم‌های موشکی هم برطرف شود.                  ,"[8, 7, 2023]","[8, 8]","['سازمانملل', 'شورایامنیت', 'تحریمهایایران', 'قطعنامه2231']"
                 برای خرید لاستیک دولتی چه باید کرد؟             ,                  لاستیک یا تایر خودرو مثل تعدادی از اقلام و کالاهای مصرفی در بازار ایران با دو نرخ و قیمت به دست مصرف‌کنندگان می‌رسد.                  ,"[3, 6, 2023]","[15, 6]","['خودرو', 'لاستیکدولتی', 'لاستیکماشین']"
                 انتقال بیش از ۴ هزار تبعه افغان از گذر مرزی زابل             ,                  فرمانده هنگ مرزی زابل گفت: تعداد ۴ هزار ۷۶۷ نفر تبعه اتباع غیر مجاز از طریق گذر مرزی میلک به کشور افغانستان انتقال داده شدند.                  ,"[16, 7, 2023]","[8, 48]","['سیستانوبلوچستان', 'زابل', 'هنگمرزی', 'اتباعافغان', 'مهاجرانافغان']"
                 راهکارهای ساده برای داشتن دستگاه گوارش سالم             ,                  به گفته متخصصان برای داشتن روده سالم و خلاصی از دست درد و ناراحتی‌های سوءهاضمه، هرکدام از ما باید در روز دست‌کم ۲۵ گرم فیبرمصرف کنیم.                  ,"[20, 7, 2023]","[10, 30]","['دستگاهگوارش', 'سلامتبدن', 'دردشکم']"
                 پیش بینی از وضعیت بازار طلا و سکه             ,                  یک فعال بازار طلا و سکه با بیان اینکه قیمت سکه طی ۴ روز گذشته حدود ۲ میلیون تومان کاهش یافته است، گفت: هیجانات کاذب از بازار خارج شده و هم اکنون خریدار و فروشنده واقعی در بازار هستند.ه                  ,"[13, 5, 2023]","[14, 1]","['بازارسکهوطلا', 'پیشبینیطلا', 'رشدقیمتسکه']"
                 نظر پزشکیان درباره جابجایی‌ها در کابینه رئیسی             ,                  مسعود پزشکیان نماینده مردم تبریز در مجلس شورای اسلامی گفت: ما باید دو مشکل را حل کنیم؛ یک، باید وحدت و انسجام داخلی را اصلاح کنیم و از اقلیت و غیر خواص بودن بیرون بیاییم و بر اساس کارشناسی عمل کنیم و دیگری اینکه با دنیا آشتی کنیم. اگر در این وضعیت این مسأله را حل نکنیم مشکل برطرف نخواهد شد.                  ,"[5, 5, 2023]","[18, 54]","['پزشکیان', 'نمایندهمجلس', 'دولترئیسی', 'تغییراتدولت', 'استیضاحوزرا']"
                 تکذیب آتش‌ زدن مغازه‌ های افغانستانی‌ ها در سراوان             ,                  فرماندار سراوان شایعه آتش‌ زدن چند باب مغازه متعلق به اتباع افغانستانی در این شهرستان را، که در برخی از شبکه‌های اجتماعی منتشر شده است، تکذیب کرد.                  ,"[10, 7, 2023]","[16, 33]","['سعیدتجلیلی', 'سراوان', 'افغانستان']"
                 تصاویری از مسابقات دوی ماراتن خبرساز زنان در شیراز             ,                  در مسابقات دوی ماراتن که به مناسبت روز شیراز، به مسافت ۱۰ کیلومتر برگزار شد، ۳۵۰ دونده از سراسر کشور شرکت داشتند.                  ,"[8, 5, 2023]","[16, 9]","['دویماراتن', 'شیراز', 'دونده']"
                 قبل از حرف زدن با عروس هلندی بخوانید!             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[25, 4, 2023]","[14, 0]","['هماتوم', 'بارداری', 'بیماری', 'عروسهلندی', 'تابناکجوان']"
                 پیش‌بینی رییس اتحادیه طلا از قیمت‌ها             ,                  رییس اتحادیه طلا و جواهر درباره روند قیمت طلا و سکه در روزهای آینده می‌گوید: به اعتقاد من در روزهای آینده افزایش قیمتی در بازار نداریم و کاهش قیمت‌ها نیز در حدود یک تا ۳ درصد خواهد بود.                  ,"[4, 6, 2023]","[16, 2]","['اتحادیهطلاوسکه', 'طلاوجواهر', 'قیمتسکه']"
                 یقه آنان که در برابر طالبان بی‌عرضگی کردند، می‌گیریم             ,                  نماینده مجلس درباره حقابه هیرمند گفت: یقه آنان که در برابر طالبان بی‌عرضه‌گی کردند، می‌گیریم.                  ,"[25, 5, 2023]","[21, 28]","['کوثری', 'نمایندهمجلس', 'طالبان', 'حقابه']"
                 نحوه محاسبه و تاثیر معدل در کنکور ۱۴۰۲             ,                  بحث تاثیر معدل در کنکور و نحوه محاسبه تاثیر معدل در کنکور از موضوعاتی است كه در سال های اخیر از اهمیت بالای برخوردار گردیده است.                  ,"[17, 7, 2023]","[21, 59]","['کنکور', 'کنکور1402', 'امتحاننهایی']"
                 یک برنامه محبوب دیگر از صداوسیما رفت!             ,                  امین پرواس، تهیه‌کننده و کارگردان برنامه هشت‌ساله «با حسین(ع) حرف بزن» از قطع همکاری با صداوسیما و تولید برنامه جدید برای محرم امسال در فضای مجازی خبر داد.                  ,"[12, 7, 2023]","[20, 55]","['امینپرواس', 'تهیهکننده', 'شبکهنسیم', 'صداوسیما']"
                 روحانی، احمدی‌نژاد، لاریجانی در مراسم  سالگرد امام(ره)             ,                  حضور برخی چهره های سیاسی، نظامی، حوزوی و دانشگاهی در مراسم سی‌وچهارمین سالگرد رحلت حضرت امام خمینی(ره) منبع: جماران                  ,"[4, 6, 2023]","[14, 51]","['روحانی', 'احمدینژاد', 'لاریجانی']"
                 اخراج منصوریان، سرمربی سابق پرسپولیس در فولاد             ,,"[5, 6, 2023]","[18, 3]","['فولادخوزستان', 'علیرضامنصوریان', 'گابریلکالدرون']"
                 اولین واکنش رونالدو به جدایی از نامزدش جورجینا             ,,"[2, 5, 2023]","[8, 13]","['رونالدو', 'جورجینارودریگز', 'همسررونالدو']"
                 افشاگری داور سرشناس از رشوه سکه مدیرعامل تیم صنعتی             ,,"[19, 7, 2023]","[8, 53]","['رشوهدرفوتبال', 'سیدمهدیسیدعلی', 'فدراسیونفوتبال', 'داورانفوتبال']"
                 تکلیف حقوق سربازان در سال ۱۴۰۲ چه می‌شود؟             ,                  بعد از اینکه آمریکا از توافق برجام خارج شد و رییس جمهور این کشور شروع به اقداماتی تحت عنوان فشار حداکثری کرد بطور ناگهانی تقریبا همه چیز در کشور قیمت چند برابری پیدا کرد.در نتیجه برای اداره کشور و کاهش فشار بر قشر های مختلف جامعه سال به سال با توجه به نرخ تورم حقوق ها افزایش پیدا کرد.                  ,"[19, 4, 2023]","[20, 7]","['حقوق', 'سربازی', 'حقوقسربازی']"
                 اصفهان در آستانه سقوط جمعیتی             ,                  براساس گزارش ثبت احوال کشور، پارسال تعداد موالید اُستان اصفهان ۴۸ هزار و ۴۰۷ مورد بود که در مقایسه با ۵۲ هزار ۶۹۷ رویداد تولد سال پیش از آن کاهش هشت درصدی نشان می‌دهد، کارشناسان براین باورند اگر جلوی این روند کاهشی گرفته نشود، این استان در آستانه سقوط جمعیتی قرار خواهد گرفت.                  ,"[22, 6, 2023]","[9, 30]","['اصفهان', 'جمعیت', 'ثبتاحوال', 'موالید']"
                 معاون وزیر کشاورزی: می‌توانیم آب مورد نیاز دو میلیارد نفر را تأمین کنیم/ دانشیار دانشگاه تهران: در شرایط تخیلی هم ایران نمی‌تواند میزبان ۲ میلیارد نفر باشد             ,                   به تازگی معاون وزیر جهاد کشاورزی طی سخنانی پیرامون مدیریت منابع و مصارف آب کشور مدعی شده است ما در ایران می‌توانیم آب مورد نیاز ۲ میلیارد نفر را تأمین کنیم. این ادعا در حالی مطرح می‌شود که یکی از اساتید دانشکده فنی دانشگاه تهران و متخصص در مسائل منابع آب چنین موضوعی را رد می‌کند و آن را متناسب با اقلیم و ظرفیت‌های جغرافیایی ایران نمی‌داند.                  ,"[22, 5, 2023]","[11, 1]","['وزارتجهادکشاورزی', 'مدیریتمنابعآب', 'بنفشهزهرایی', 'عباسعلینوبخت']"
                 طالبان تعدادی از اتباع افغانستانی را از ایران خارج کرد             ,                  وزارت مهاجرین و عودت کنندگان امروز سه‌شنبه اعلام کرد که ۳ هزار و ۱۸۶ نفر مهاجر افغان مقیم ایران به کشور بازگشتند.                  ,"[31, 5, 2023]","[11, 36]","['افغانستان', 'طالبان', 'ایران', 'افغانستانیها']"
                 در آستانه سرمربیگری استقلال، نکونام عکس با علی کریمی را از صفحه‌اش حذف کرد             ,,"[17, 6, 2023]","[22, 43]","['جوادنکونام', 'استقلال', 'سرمربیاستقلال']"
                 مهمان های متفاوت روستای تبریزی             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[1, 6, 2023]","[8, 0]","['شربتآلبالو', 'مربایآلبالو', 'تبریز', 'لکلک', 'تابناکجوان']"
                 ترکیه به دلیل بحران اقتصادی در حال فروپاشی است             ,                  نور صبحگاهی از پشت بام ‌ها عبور می ‌کند و وارد کوچه ‌ای باریک در بازار بزرگ استانبول می ‌شود جایی که معامله گران ارزی که برای اقتصاد ترکیه زنگ خطری را به صدا در می آورند، از راه می رسند.                  ,"[20, 6, 2023]","[9, 59]","['ترکیه', 'اقتصاد', 'کاهشارزشلیر']"
                 بازگشت‌ به‌ کار مدیرِ فسادستیز در بابل             ,                  رئیس سابق اداره منابع طبیعی بابل که به‌خاطر جلوگیری از زمین‌خواری برخی اشخاص متنفذ در این منطقه با فشارها و مداخلات غیرقانونی برکنار شده بود، به مسئولیت قبلی خود بازگشت.                  ,"[12, 6, 2023]","[8, 28]","['بابل', 'منابعطبیعی', 'مبارزهبافساد', 'بازرسویژه']"
                 تحریم از سفره مردم نرفت، ۲۰ جور مالیات هم اضافه شد             ,                  از همان روزی که دولت سیزدهم اعلام کرد که سفره مردم را از تحریم‌ ها جدا می‌کند و مدعی شد که می‌تواند کشور را جدای از فشارهای تحریمی اداره کند، کاملا محرز بود که چنین وعده‌ای فقط روی شعار و کاغذ باقی می‌ماند و چاره‌ای جز اخذ مالیات از مردم باقی نمی‌ماند.                  ,"[4, 7, 2023]","[8, 48]","['دولترئیسی', 'تحریمها', 'سفرهمردم', 'مالیات']"
                 برخورد دو هواپیمای مسافربری در ژاپن             ,                  رسانه‌های ژاپن اعلام کردند در پی برخورد جزئی دو هواپیمای مسافربری در فرودگاه توکیو، پرواز‌های این فرودگاه به تأخیر افتادند.                  ,"[10, 6, 2023]","[15, 46]","['ژاپن', 'فرودگاهتوکیو', 'برخوردهواپیما']"
                 منافقی‌ که در کمپ آلبانی کشته شد، که بود!             ,                  مریم رجوی فرجی‌نژاد را که به بیش از ۶۰ ترور موفق مشهور بود، و دیروز در حمله پلیس آلبانی به کمپ اشرف کشته شد، از برترین فرماندهان نظامی سازمان معرفی کرده بود.                  ,"[21, 6, 2023]","[13, 22]","['نورنیوز', 'منافقین', 'مجاهدین', 'عبدالوهابفرجی\u200cنژادجهرمی']"
                 سامانه بارشی از غرب وارد کشور می‌شود             ,                  رئیس مرکز ملی پیش‌بینی و مدیریت بحران مخاطرات وضع هوا از گرم شدن هوا در نیمه شرقی کشور خبر داد.                  ,"[19, 5, 2023]","[11, 5]","['هواشناسی', 'سامانهبارشی', 'رگبارباران', 'وزشباد', 'افزایشدما']"
                 طرد ۲۴۵۲ نفر از اتباع افغانستانی از پایانه مرزی میلک             ,                  فرمانده هنگ مرزی زابل گفت: ۲ هزار و ۴۵۲ نفر از اتباع غیرمجاز که توسط نیروهای مختلف امنیتی و انتظامی در سراسر کشور دستگیر شده بودند از طریق گذر مرزی مشترک ایران و افغانستان میلک طرد شدند.                  ,"[4, 5, 2023]","[9, 49]","['سیستانوبلوچستان', 'زابل', 'هنگمرزی', 'مرزمیلک', 'پایانهمرزی', 'مهاجرانغیرقانونی', 'اتباعغیرمجاز']"
                 پیام صوتی جدید رئیس گروه واگنر             ,"                  یوگنی پریگوژین، رئیس‌ گروه واگنر با انتشار یک پیغام صوتی، پیشروی نیروهایش به سمت مسکو را ""راهپیمایی عدالت"" خواند و از ""پیروزی‌های آتی در جبهه در آینده‌ای نزدیک"" خبر داد.                  ","[4, 7, 2023]","[10, 38]","['پریگوژین', 'گروهواگنر', 'پیامصوتی', 'روسیه']"
                 خیز مسی برای عبور از دایی در ۲بازی آسان آسیایی             ,,"[8, 5, 2023]","[10, 17]","['لیونلمسی', 'بازیتدارکاتی', 'تیمملیآرژانتین']"
                 ناوالنی و خبر راهپیمایی سربازان واگنر به سمت مسکو             ,                  الکسی ناوالنی، رهبر اپوزیسیون زندانی روسیه، از شورش مسلحانه گروه واگنر ابراز تعجب کرد و گفت که ابتدا فکر می‌کرده خبر راهپیمایی هزاران سرباز به سمت مسکو یک شوخی است.                  ,"[29, 6, 2023]","[16, 3]","['آلکسیناوالنی', 'واگنر', 'پوتین']"
                 ماجرای لغو عمل جراحی پیوند قرنیه یک بیمار در شیراز             ,                  در پی انتشار مطلبی در فضای مجازی مبنی بر لغو عمل جراحی پیوند قرنیه یک بیمار در بیمارستان خلیلی شیراز، معاون درمان دانشگاه علوم پزشکی شیراز در این خصوص توضیحاتی ارایه داد.                   ,"[14, 5, 2023]","[8, 18]","['شیراز', 'بیمارستان', 'عملجراحی', 'پیوندقرنیه']"
                 عاقبت نرخ‌گذاری صوری در بازار مسکن پردیس!             ,                  برخورد با دفاتر املاک متخلف و بدون مجوز در شهر جدید پردیس که به گفته‌ی مدیرعامل شرکت عمران این شهر اقدام به نرخ‌گذاری صوری می‌کردند در حال انجام است و این موضوع به کاهش نرخ‌های پیشنهادی آپارتمان در پردیس منجر شده است.                  ,"[29, 5, 2023]","[8, 34]","['بازارمسکن', 'پردیس', 'بنگاههایاملاک', 'حبابقیمت', 'تخلف', 'مسکنمهر']"
                 ترفند عجیب دانش آموز برای گرفتن نمره از معلم             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «تولید مافیای جدید در نظام سنجش و پذیرش دانشجو؛ تاثیر قطعی معدل در کنکور به سود چه کسانی است؟»، «کودکان مراقب بیماری آبله مرغان باشند»، «تنها ۱۰ ثانیه فرصت داری تا حرف O را پیدا کنی؛ عجله کن»، «فیلمی از نظرات توهین آمیز مردم افغانستان در مورد حقابه ایران»، «استفاده از فناوری های به روز در آموزه های تربیتی اسلام اثر گذار است»، «هوازدگی و انواع آن در علوم هشتم»، «آزمون هوش؛ اگر چشمان تیزبین داری کلمه Bill را در ۲۰ ثانیه پیدا می کنی»، «با اماکن دیدنی و زیارتی شهر مکه بیشتر آشنا شوید»، «۱۰ هزار مدرسه به کمک دانش‌آموزان بهسازی می شود»  را با کلیک بر تیتر آن بخوانید.                  ,"[25, 5, 2023]","[21, 20]","['مدرسهآنلاین', 'مافیا', 'سنجش', 'کنکور', 'آبلهمرغان', 'افغانستان', 'فناوری', 'هوازدگی', 'علوم', 'مکه', 'هوش']"
                 نکونام: بازیکنانی می‌خواهیم که به استقلال نمی‌آیند             ,,"[29, 6, 2023]","[20, 20]","['جوادنکونام', 'استقلال', 'تمریناستقلال']"
                 مهم ترین خبر از عرضه اولیه فردا که باید بدانید             ,                  امروز مطالبی همچون تغییرات اندک دلار، یورو و درهم در اولین روز هفته، پیش بینی قیمت طلا فردا ۲۱ خرداد ۱۴۰۲، ۱۰خبر مهم بورس فردا ۲۱ خرداد، پیش بینی نیما میرزایی از بورس هفته جاری، زمان معارفه شرکت آماده عرضه اولیه ۱۵ درصدی سهام، در بانک ملت چه خبر است؟، افت سود هرسهم این نماد نسبت به مدت مشابه، افت بیش از ۲ درصدی ارزش سهام عدالت؛ در سایت نبض بورس قرار گرفته است.                  ,"[10, 6, 2023]","[23, 20]","['نبضبورس', 'عرضهاولیه', 'نرخدلار']"
                 داستان شلیک مشهور صدام حسین با تفنگ / روحیه غرورآفرین یک رزمنده پس از عملیات / سفر ایرانی‌ها به ژاپن برای کار / نحوه ترور محمد انور السادات توسط خالد اسلامبولی             ,                  بسته ویدیویی «تابناک» مجموعه‌ای از ویدیوها پیرامون رویدادهای سیاسی عمدتاً متکی بر گزارش‌ها و تحلیل‌ها و ویدیویی‌هایی درباره دیگر موضوعات فرهنگی، اقتصادی و... است که تماشایش را از دست داده‌اید؛ نگاهی دوباره و متفاوت به آنچه در این بستر می‌توان فرا گرفت.                  ,"[15, 7, 2023]","[21, 21]","['بستهویدیویی', 'تاریخ', 'ویدیو']"
                 کمبود کدام ویتامین باعث عصبانیت می‌شود ؟             ,                  «خدیجه رحمانی» متخصص تغذیه و عضو هیات علمی دانشگاه شهید بهشتی تهران درباره تاثیر ویتامین‌ها روی کیفیت خلق و خو توضیحاتی داد که در ادامه می‌خوانید.                  ,"[8, 7, 2023]","[11, 10]","['خدیجهرحمانی', 'ویتامینb', 'غلات']"
                 میرسلیم : صرفه اقتصادی با واردات خودرو است             ,                  میرسلیم : رقابت‌پذیری ایجاب می‌کند برخی از قطعات از کشور‌های دیگر وارد شود والا تولید محصول اصلی توجیه اقتصادی پیدا نمی‌کند، یعنی حتی اگر توانایی فنی تولید آن قطعه را هم داشته باشیم صرفه اقتصادی با واردات خودرو است، زیرا امکانات ما در ساخت آن قطعه، در مقایسه با سرمایه‌گذاری و انبوه‌سازی آن در برخی دیگر از کشورها، جوابگوی اهداف اقتصادی نیست مثل برخی از تراشه‌های الکترونیکی که دیگران بر ما اولویت یافته‌اند.                  ,"[25, 6, 2023]","[11, 24]","['سیدمصطفیمیرسلیم', 'وارداتخودرو', 'خودرویداخلی']"
                 ۱۰ روش کاربردی برای افزایش سرمای کولر آبی             ,                  اگر کولر آبی تان خوب خنک نمی کند و به دنبال راهکاری باری افزایش سرمای کولر آبی هستید ، این مطلب را از دست ندهید. ما در این پست به 10 روش جهت افزایش سرمای کولر آبی اشاره کرده ایم.                  ,"[15, 7, 2023]","[18, 39]","['کولرآبی', 'آبکولر', 'تابستان']"
                 کدام نماد‌ها مجمع افزایش سرمایه برگزار می‌کنند؟             ,                  در هفته جاری از شنبه ۳۰ اردیبهشت ماه تا ۵ شنبه ۴ خردادماه تعدادی از مجامع شرکت‌های بورسی و فرابورسی برگزار خواهد شد. این نماد‌ها کدامند و به چه دلیلی مجمع برگزار خواهند کرد؟                  ,"[20, 5, 2023]","[9, 48]","['افزایشسرمایه', 'مجمع', 'دجابر']"
                 پیشگیری و رفع شوره کولر آبی با چند راهکار             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[22, 5, 2023]","[15, 20]","['گوجهسبز', 'کولرآبی', 'تابناکجوان']"
                 فیلم ماساژ خانم معلم توسط دانش آموزان به نشانه تشکر             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «اعتراض به رتبه‌بندی معلمان از 26 تا 29 اردیبهشت تمدید شد»،«فیلم شفا گرفتن دختر فلج ایرانی در حرم مطهر امامین عسکریین (ع) | واکنش زنان حاضر در حرم را ببینید»، «قرص زینک در چه صورتی سمی و خطرناک می شود؟»، «زیباترین شعرها برای امام صادق؛ به منبر می رود دریا، به سویش گام بردارید»، «حکایت سؤال از مرد دیوانه و جواب‌های او»، «طرز تهیۀ حلوای بحرینی ساده اما مجلسی»، «فیلم ماساژ خانم معلم توسط دانش آموزان به نشانه تشکر»، «مدارک لازم برای دریافت گواهینامه رانندگی چیست؟»، «تنها با حرکت دادن ۲ چوب کبریت ۱۰ مربع بسازید؛ فقط باهوش‌ها زیر ۱۵ ثانیه به جواب می‌رسند!» را با کلیک بر تیتر آن بخوانید.                  ,"[17, 5, 2023]","[21, 3]","['مدرسهآنلاین', 'رتبه\u200cبندیمعلمان', 'شفاگرفتن', 'امامصادق', 'منبر', 'حلوا', 'بحرینی', 'ماساژ', 'گواهینامه']"
                 هشدار زرد هواشناسی درباره نفوذ دو سامانه جوّی به کشور             ,                  سازمان هواشناسی به سبب فعال شدن دو سامانه جوّی که یکی سبب بارش در برخی استان‌ها و دیگری موجب وزش باد نسبتاً شدید در مناطقی از کشور خواهد شد، هشدار سطح زرد صادر کرد.                  ,"[25, 5, 2023]","[8, 16]","['هواشناسی', 'سامانهبارشی', 'رگبارباران', 'رعدوبرق', 'وزشبادشدید', 'گردوخاک']"
                 اختلاف بین نمرات مصححین برگه‌های امتحان نهایی             ,                  به گفته معاون آموزش متوسطه وزیر آموزش و پرورش، در صورتی که سه مصحح برگه امتحان نهایی، سه «نمره» متفاوت را برای دانش آموزی درج کنند، میانگین نمرات مد نظر قرار می‌گیرد.                  ,"[21, 6, 2023]","[8, 22]","['آموزشوپرورش', 'امتحاناتنهایی', 'برگههایامتحانی', 'نمرات']"
                 دلایل جرم بودن کاشت یک درخت در ایران             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[31, 5, 2023]","[10, 4]","['سرماخوردگی', 'هندوانه', 'جرم', 'درخت', 'محیطزیست', 'تابناکجوان']"
                 اینجا اراذل و اوباش را زنده زنده می‌سوزانند!             ,,"[20, 6, 2023]","[17, 40]","['تندترینفلفلدنیا', 'تابناکباتو', 'لامبورگینی']"
                 کاهش شدید قیمت خودرو در بازار + جدول             ,                  بررسی بازار خودرو طی دو هفته اخیر (از دوم خرداد تا هفدهم خردادماه) حکایت از ریزش قیمت انواع محصولات خودرویی در کشور دارد؛ به‌گونه‌ای که در محصولات پرتیراژ دو خودروساز بزرگ در محصولات ایران‌خودرو کاهش ۲۳ تا ۱۱۵ میلیون تومانی قیمت‌ها و در محصولات سایپا افت ۹ تا ۵۰ میلیون تومانی بهای خودروها دیده می‌شود.                  ,"[8, 6, 2023]","[15, 25]","['قیمتخودرو', 'بازارخودرو', 'خودروساز']"
                 ستاره استقلال گرانترین بازیکن، پرسپولیس گرانترین تیم             ,,"[6, 7, 2023]","[17, 19]","['مهردادمحمدی', 'استقلال', 'گرانترینتیم']"
                 جزئیات مهم از افزایش سرمایه یک عرضه اولیه             ,                  امروز مطالبی همچون  قیمت لحظه‌ای دلار و یورو در بازار ، سهامداران بانک آینده بخوانند، چند خبر مهم برای بورس فردا ۱۹ تیرماه ، مجمع خمحور ۱۴۰۲ | دو خبر خوب برای سهامداران، بیشترین رشد قیمت در این سه نماد، ریزش ۱۰۰ میلیاردی ارزش سهام شرکت‌ها در راه است؟؛ در سایت نبض بورس قرار گرفته است.                  ,"[9, 7, 2023]","[18, 45]","['نبضبورس', 'عرضهاولیه', 'نرخدلار', 'بورس', 'افزایشسرمایه']"
                 کشف نیم کیلو تریاک از داخل یک جفت کفش             ,                  با تلاش کارکنان گمرک امانات پستی اردبیل در حین ارزیابی کالای صادراتی به مقصد استرالیا مقدار نیم کیلو شیره تریاک از داخل کفش کتانی کشف و ضبط شد. این مقدار مواد مخدر بصورت ماهرانه ای داخل یک جفت کفش جاسازی شده بود که با هوشیاری مأموران گمرک کشف گردید و متهم نیز تحویل پلیس مبارزه با مواد مخدر استان داده شد . منبع: ایران                  ,"[9, 7, 2023]","[14, 52]","['تریاک', 'کفش', 'گمرک']"
                 امشب یخبندان این مناطق از کشور را فرامی‌گیرد             ,                  روز گذشته کمینه دمای تهران ۹ درجه و سردترین نقطه کشور دیزین با دمای ۷- بود.                  ,"[16, 5, 2023]","[13, 48]","['کارشناسهواشناسی', 'کشاورزان', 'کاهشدما']"
                 معرفی انواع کوییک و تفاوت هایشان             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[25, 5, 2023]","[10, 0]","['کوییک', 'طرحیکپارچهخودرو', 'زیارت', 'حج', 'تابناکجوان']"
                 زیبایی زنان دوره قاجار برخلاف آنچه تا به حال دیده‌اید!             ,                  بر خلاف تصور عمومی عکس‌هایی که آنتوان خان از زنان دوره قاجار گرفته است نشان دهنده زیبایی آنان است.                  ,"[7, 6, 2023]","[8, 18]","['زنانقاجار', 'زنانزیبا', 'عکسقدیمی', 'حرمسرایناصرالدینشاه', 'دورهقاجار', 'زنانایرانی']"
                 گل افغانستان به ایران با گزارش افغانی: بغض ۳۵میلیونی             ,                  یک گل بی‌نظیر از ابرستاره ما فرشاد نور. خداروشکر عجب گلی زدیم. دمت گرم فرشاد. بغض ما ترکید روی این صحنه. سوپرگل استثنایی از فرشاد دلها. بغض 35 میلیون افغانستانی ترکید                  ,"[14, 6, 2023]","[15, 29]","['تیمملیافغانستان', 'تورنمنتکافا', 'تیمملیایران']"
                 درس عبرت واگنر‌های ایرانی برای پریگوژین / تهدید به استیضاح برای اجرای قانون/وضعیت بغرنج پوتین             ,                  خنجر از پشت به پوتین، موافقت شورای نگهبان با انتخابات تناسبی در تهران، خدشه دستورالعمل بانکی بر شفافیت‌زایی مالیاتی، معامله ملک خارجی در بنگاه‌های داخلی، چتر بزرگ بیمه رایگان، چالش منافقین با از دست‌ رفتن سرور اطلاعات، ایده ائتلاف هشت کشور به جای شورای همکاری خلیج فارس و تبادل زندانیان گام اول توافق؟ از مواردی است که موضوع گزارش‌های خبری و تحلیلی روزنامه‌های امروز شده است.                  ,"[25, 6, 2023]","[5, 41]","['مرورروزنامهها', 'واگنرها', 'پوتین', 'روسیه', 'علیبیگدلی', 'یوگنیپریگوژین']"
                 بازداشت ۲۳ دختر و پسر در پارتی مختلطی در رودهن             ,                  دادستان رودهن با تائید بازداشت ۲۳ دختر و پسر هنجار شکن در یک پارتی مختلط شبانه در رودهن از پلمب ویلای مذکور خبر داد.                  ,"[17, 5, 2023]","[8, 33]","['رودهن', 'پارتیمختلط', 'دستگیری', 'ویلا', 'پلمب']"
                 قوه‌قضاییه: خواهر علی کریمی با ۷۷۰میلیارد چک برگشتی زندانی است             ,,"[18, 6, 2023]","[20, 51]","['علیکریمی', 'خواهرعلیکریمی', 'کلاهبرداری', 'چکبرگشتی']"
                 خبر مهم برای متقاضیان عرضه اولیه در بورس             ,                  امروز مطالبی همچون دلار بدون تغییر ماند، پیش بینی مهم از بورس فردا شنبه ۲۳ اردیبهشت، شرکت های شاخص ساز چه میزان افزایش سود ثبت کردند؟، پیش بینی قیمت طلا و قیمت بیت کوین، قیمت پژو پارس چقدر شد؟؛ در سایت نبض بورس قرار گرفته است.                  ,"[12, 5, 2023]","[21, 58]","['نبضبورس', 'عرضهاولیه', 'بورس', 'پیشبینیبورس']"
