Titr,Lead,Date,Time,Tags
                 آتش زدن دو خودرو لوکس ۱۴ میلیاردی در هرمزگان             ,                   فرمانده انتظامی استان هرمزگان از آتش زدن دو خودروی لوکس ۱۴ میلیارد تومانی قاچاق توسط قاچاقچیان و متواری شدن آنان در شهرستان سیریک خبر داد.                  ,"[27, 6, 2023]","[10, 20]","['هرمزگان', 'خودروهایلوکس', 'آتشزدنخودرو']"
                 عکس لحظه دستگیری هانی کُرده توسط پلیس             ,                  لات معروف و نوچه‌هایش که تماشاگران معترض استقلال را به باد کتک گرفتند، توسط پلیس دستگیر و بازداشت شدند                  ,"[1, 7, 2023]","[22, 2]","['هانیکُرده', 'استقلال', 'پلیستهران']"
                 یک مادر در انتظار فرزندش پشت در سالن کنکور             ,                  نوبت دوم کنکور ۱۴۰۲، با رقابت داوطلبان گروه‌های آزمایشی علوم‌انسانی، علوم‌ریاضی و فنی صبح امروز چهارشنبه ۱۴ تیرماه در سراسر کشور آغاز شد. منبع: صداوسیما                  ,"[5, 7, 2023]","[15, 47]","['آزمونسراسری', 'کنکور', 'مادر']"
                 شهر‌های مختلف ایران اگر آدم بودند، این شکلی می‌شدند             ,,"[16, 6, 2023]","[23, 11]","['جورجینارودریگز', 'تابناکباتو', 'شهرهایایران']"
                 جدول لیگ ملتهای والیبال: ایران بالاتر از قهرمان المپیک             ,                  لیگ ملتهای والیبال ۲۰۲۳ با صدرنشینی ژاپن در حال پیگیری است و این تیم قدرتمند همه هفت مسابقه‌اش را تا اینجا برده است! تنها برزیل موفق شده است دو ست و یک امتیاز از چشم بادامی‌ها بگیرد! باقی رقبا بیش از یک ست از ژاپن نگرفتند. ایران هم با دو برد از هفت بازی دهم است و بالاتر از فرانسه ایستاده                  ,"[24, 6, 2023]","[11, 35]","['جدولمسابقات', 'لیگملتهایوالیبال', 'تیمملیژاپن']"
                 سرگذشت غمگین مردی که دو صورت داشت             ,,"[1, 7, 2023]","[10, 10]","['مهرانمدیری', 'تابناکباتو', 'تایتانیک']"
                 آماده‌باش امنیتی در پمپ‌بنزین‌ها واقعیت دارد؟             ,                  چندی پیش بود که خبر اجرای طرح آزمایشی عرضه سوخت از طریق کارت بانکی مطرح شد. در همین زمینه، یکی از رسانه‌های خارجی نوشت، در پی این تصمیم، آماده‌باش امنیتی در جایگاه‌های سوخت‌گیری کشور حاکم شده است؛ بنابراین، تابناک برای صحت‌سنجی، موضوع را از نایب رئیس انجمن سراسری جایگاه‌داران کل کشور پیگیری کرد.                  ,"[7, 7, 2023]","[23, 38]","['بنزین', 'قیمتبنزین', 'صفبنزین', 'طرحجایگزینیکارتسوختباعابربانک']"
                 یافتن جسد جوان مفقودی بعد از ۸ ساعت جستجو             ,                  جسد جوان ۲۰ ساله بعد از هشت ساعت عملیات جستجو در محدوده روستای میانده شهرستان جیرفت پیدا شد.                  ,"[7, 7, 2023]","[11, 24]","['کرمان', 'هلالاحمر', 'جیرفت', 'کشفجسد']"
                 «موجودی حساب» عضو خبرگان هنگام حمله مسلحانه             ,                  مدیر اداره امور شعب بانک ملی مازندران گفت: آنچه که در رسانه های معاند در ارتباط با موجودی ۴۲۰ میلیارد تومانی در حساب بانکی آیت الله سلیمانی عضو فقید مجلس خبرگان رهبری منتشر شده است، به هیچ عنوان صحت ندارد و تکذیب می شود.                  ,"[28, 4, 2023]","[10, 26]","['آیتاللهسلیمانی', 'عضوخبرگان', 'موجودیحساب', 'بانک']"
                 ستاره رئال مادرید در یکقدمی تراکتور!             ,,"[26, 6, 2023]","[6, 31]","['تراکتور', 'محمدرضازنوزی', 'ایسکو']"
                 عبدی خواستار رسیدگی قضایی به ادعای مداح مشهور شد             ,                  عباس عبدی از نیروی انتظامی و قوه قضائیه خواست تا به ادعای منصور ارضی رسیدگی کند.                  ,"[29, 6, 2023]","[22, 31]","['عباسعبدی', 'منصورارضی', 'مداحمشهور']"
                 آقامحمدی: کسانی که سند غیر رسمی دارند ثبت نام کنند             ,                  جانشین وزیر کشور و رئیس ستاد توانمندسازی محلات کمتر برخوردار با بیان اینکه ۲ هزار و ۲۰ محله آسیب پذیر در کشور شناسایی شده است، گفت: خدمات اولیه به ساکنان این محلات ارائه می شود.                  ,"[13, 6, 2023]","[13, 17]","['علیآقامحمدی', 'سندغیررسمی', 'تبریز', 'محلات']"
                 خوردن هسته زردآلو عوارض دارد؟             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[13, 6, 2023]","[8, 2]","['شهید', 'کیانپیرفلک', 'ایذه', 'زردآلو', 'تابناکجوان']"
                 تحلیلگر سیا: کودتای اخیر تبانی پریگوژین و پوتین بود             ,"                  ""ربکا کوفلر"" تحلیلگر سابق سیا به تازگی مدعی شده که پیشروی نیروهای واگنر تحت فرماندهی ""یوگنی پریگوژین"" به سمت مسکو و تغییر موضع ناگهانی او و عقب نشینی نیروهایش عملیات ""پرچم دروغین"" بوده که با تبانی و هماهنگی با پوتین صورت گرفته است.                  ","[26, 6, 2023]","[19, 41]","['کوفلر', 'یوگنیپریگوژین', 'پوتین']"
                 مصوبه تاریخی والیبال دنیا علیه آمریکا و به سود ایران             ,                  به این ترتیب اگر آمریکا به تمامی نفرات اصلی تیم ایران تا زمان پرواز از فرانکفورت به این کشور (یکشنبه 11 تیر) ویزا ندهد، نتیجه بازی‌های ایران در رده‌بندی جهانی نیز تاثیر نخواهد داشت.                  ,"[25, 6, 2023]","[0, 26]","['تیمملیوالیبال', 'لیگملتهایوالیبال', 'ویزایآمریکا', 'محمدرضاداورزنی', 'فدراسیونجهانیوالیبال']"
                 مکالمه خارج از ادب معلم خصوصی با دختر دانش آموز             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «مکالمه خارج از عرف و ادب معلم خصوصی با دختر دانش آموز»، «نکات مهمی که باید هنگام خرید طلای دست دوم رعایت کنیم»، «یک معلم جامعه شناسی با چندین گلوله به قتل رسید»، «دانش آموزان ممتاز بدون کنکور وارد دانشگاه فرهنگیان خواهند شد»، «تشبیه و ارکان آن با مثال به زبان ساده»، «داستان ضرب المثل آدم خوش معامله شریک مال مردم است»، «آغاز هفته با فال حافظ؛ قتل این خسته به شمشیر تو تقدیر نبود»، «آزمون هوش؛ فقط حواس جمع ها می‌تونن تفاوت پانداها رو پیدا کنن!»، «علاقه‌مندان به معلمی می‌توانند از سال آینده در کنکور اختصاصی تربیت معلم شرکت کنند» را با کلیک بر تیتر آن بخوانید.                  ,"[6, 5, 2023]","[21, 28]","['مدرسهآنلاین', 'معلم', 'قتل', 'دانشگاهفرهنگیان', 'ضربالمثل', 'فالحافظ', 'کنکور', 'تربیتمعلم', 'طلا']"
                 فوری: بیرانوند از رفتن به استقلال منصرف شد             ,,"[4, 7, 2023]","[12, 25]","['علیرضابیرانوند', 'استقلال', 'پرسپولیس', 'بمبنقلوانتقالات']"
