Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1176818/کدام-نمادها-مشمول-فرآیند-تعلیق-اند,2846,25562,11.13%,2,8,0
https://www.tabnak.ir/fa/news/1176364/فیلمی-که-ناصر-حجازی-حاضر-به-دستبوسی-شاه-نشد,2828,23252,12.16%,2,4,0
https://www.tabnak.ir/fa/news/1181473/زمان-تحویل-خودروهای-وارداتی-مشخص-شد,2822,18763,15.04%,1,3,0
https://www.tabnak.ir/fa/news/1181834/متوقف-شدن-کاشت-حلزون-برای-ناشنوایان,2818,31902,8.83%,1,4,0
https://www.tabnak.ir/fa/news/1181523/زمان-عرضه-اولیه-آسیاناما-اعلام-شد,2802,16743,16.74%,2,3,0
https://www.tabnak.ir/fa/news/1182014/خبر-مهم-برای-بازنشستگان-حقوق‌ها-تغییر-می‌کند,2800,27792,10.07%,1,4,0
https://www.tabnak.ir/fa/news/1180672/داستان-سقوط-غیرمنتظره-ارزش-لیر,2784,28871,9.64%,1,2,0
https://www.tabnak.ir/fa/news/1177612/فقط-۷۲-ساعت-تا-اتفاق-خوش-ارزی-برای-ایران,2783,47323,5.88%,1,2,21
https://www.tabnak.ir/fa/news/1182229/جزئیات-حوادث-امروز-صبح-زاهدان,2774,11724,23.66%,1,9,0
https://www.tabnak.ir/fa/news/1183470/واکنش-ایلان-ماسک-به-ارسال-بمب‌-خوشه‌ای-به-اوکراین,2762,38318,7.21%,1,0,0
https://www.tabnak.ir/fa/news/1178752/در-صورت-شکست-روسیه-در-جنگ-اوکراین-چه-بلایی-سر-پوتین-می-آیدزلنسکی-ضدحمله-اوکراین-آغاز-شد-ساقط-شدن-جنگنده-اوکراینی-در-منطقه-خرسون,2760,7065,39.07%,1,2,0
https://www.tabnak.ir/fa/news/1182227/سفره-اطعام-غدیر-در-پارک-ملت-مشهد,2758,38449,7.17%,1,7,0
https://www.tabnak.ir/fa/news/1175808/تصاویری-از-طبیعت-بهاری-هورامان,2754,37230,7.4%,1,8,0
https://www.tabnak.ir/fa/news/1177841/یک-نماینده-۹۰-درصد-مردم-موافق-لایحه-حجاب-هستند,2745,32988,8.32%,1,1,0
https://www.tabnak.ir/fa/news/1176595/کشف-کارگاه-تولید-روغن-خوراکی-تقلبی-در-شهر-ری,2743,35759,7.67%,1,5,0
https://www.tabnak.ir/fa/news/1181835/جریان-مثبت-نائو-عامل-پربارشی-در-فصل-زمستان,2741,30574,8.97%,1,5,0
